<NUMBER OF ZONES> 1698
<NUMBER OF NODES> 7926
<FIRST THRU NODE> 0
<NUMBER OF LINKS> 21194
<MINIMUM_NODE_ID> 0
<TRIP_FORMAT> 1
<COST_FUN_TYPE> 1
<END OF METADATA>

~origin    dest    capacity    length    fft    alpha    beta    speed_limit    toll    FTYPE    ATYPE    AMLANE    slope    fld    slr    tpa    bri
36    2414    22050.0    0.23    0.81    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
37    1793    22050.0    0.15    0.53    15    1.04    99    0.00    0    2    7   -0.03   9999   9999   0   0.000000;
37    2228    22050.0    0.25    0.88    15    1.04    99    0.00    0    2    7   -0.01   9999   9999   0   0.000000;
37    2356    22050.0    0.14    0.49    15    1.04    99    0.00    0    2    7   0.04   9999   9999   0   0.000000;
38    2227    22050.0    0.12    0.42    15    1.04    99    0.00    0    2    7   0.03   9999   9999   0   0.000000;
38    2360    22050.0    0.17    0.60    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
39    2057    22050.0    0.25    0.65    7    1.08    99    0.00    0    3    7   0.02   9999   9999   0   0.000000;
39    2060    22050.0    0.28    0.73    7    1.08    99    0.00    0    3    7   -0.05   9999   9999   0   0.000000;
39    2269    22050.0    0.27    0.70    7    1.08    99    0.00    0    3    7   -0.02   9999   9999   0   0.000000;
39    2415    22050.0    0.36    0.94    7    1.08    99    0.00    0    3    7   -0.01   9999   9999   0   0.000000;
40    1795    22050.0    0.29    1.02    15    1.04    99    0.00    0    2    7   -0.01   9999   9999   0   0.000000;
40    2057    22050.0    0.34    1.20    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
40    2266    22050.0    0.18    0.64    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
40    2363    22050.0    0.17    0.60    15    1.04    99    0.00    0    2    7   -0.03   9999   9999   0   0.000000;
41    2264    22050.0    0.10    0.35    15    1.04    99    0.00    0    2    7   0.00   9999   9999   0   0.000000;
41    2362    22050.0    0.18    0.64    15    1.04    99    0.00    0    2    7   0.03   9999   9999   0   0.000000;
41    2363    22050.0    0.11    0.39    15    1.04    99    0.00    0    2    7   -0.03   9999   9999   0   0.000000;
42    2058    22050.0    0.09    0.32    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
43    2058    22050.0    0.10    0.35    15    1.04    99    0.00    0    2    7   -0.02   9999   9999   0   0.000000;
44    1805    22050.0    0.17    0.35    5.5    1.11    99    0.00    0    4    7   0.00   9999   9999   0   0.000000;
44    1976    22050.0    0.30    0.62    5.5    1.11    99    0.00    0    4    7   -0.01   9999   9999   0   0.000000;
44    2061    22050.0    0.28    0.58    5.5    1.11    99    0.00    0    4    7   -0.03   9999   9999   0   0.000000;
44    2252    22050.0    0.50    1.03    5.5    1.11    99    0.00    0    4    7   -0.00   9999   9999   0   0.000000;
45    1809    22050.0    0.19    0.67    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
45    1976    22050.0    0.14    0.49    15    1.04    99    0.00    0    2    7   0.03   9999   9999   0   0.000000;
45    2366    22050.0    0.34    1.20    15    1.04    99    0.00    0    2    7   -0.03   9999   9999   0   0.000000;
46    2255    22050.0    0.15    0.53    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
